item_id	i_category	r_complement	r_substitute
1	10	[11444, 5289, 10003, 10514, 7724, 11523, 11390, 11722, 5312, 8455, 11241, 8897, 11188, 7759, 11138, 7224, 8778, 11025, 10279, 8569, 6289, 10512, 9992, 8815, 11387, 7437, 11195, 8700, 10996]	[10003, 10514, 5182, 5181, 7437, 9956, 8700, 8778, 11138]
2	34	[1872, 10003, 8000, 5926, 2421, 5287, 10404, 7651, 10428, 3126, 4763, 8261, 2475, 5258, 9208, 9383, 5317, 1928, 8517, 9234, 9144, 8474, 11256, 9235, 1719, 5181, 9014, 7652, 9143, 7979, 8001, 1380, 3118, 8327]	[8517, 10404, 9234, 3663, 8000, 9144, 9143, 2421, 8001, 5287, 9208, 5258, 8327, 1928]
3	37	[]	[1118, 810, 1057, 1596]
4	37	[1596, 2545, 2541, 1269, 3054, 1914, 10260, 2991, 777, 3146, 2416, 1078, 918, 5476, 4597]	[2546, 2541, 3054, 3146, 1078, 918]
5	37	[]	[918]
6	7	[3764, 2360, 10978, 9612, 1605, 1211, 6821, 3765, 4760, 2652, 11420, 11606, 9347]	[3764, 1605, 1211, 3350, 3765, 8690, 5981, 9347, 292]
7	3	[8]	[8]
8	3	[9091, 7]	[7]
10	17	[7459, 9, 4162, 5497]	[8366, 9, 5497]
9	17	[8366, 2770, 10, 7460, 5497]	[8366, 4161, 10, 5497]
11	35	[4954, 135, 1796, 2052, 4512, 162, 3572, 6570, 570, 10814, 2114, 4358, 7676]	[7913, 9005, 210, 6886, 4875, 1548, 570, 7718, 5409, 710, 7914]
14	9	[5492, 9130, 9122, 7818, 6997, 11827, 4125, 4102, 11035, 2698, 4075, 4118, 7000, 4109, 9129, 7348, 7803, 7801, 7535, 6903, 10370, 81]	[111, 7217, 9122, 7818, 6997, 11827, 5437, 4125, 3368, 4102, 11035, 7804, 2705, 7802, 4118, 7000, 4109, 9129, 5576, 4559, 7535, 10370, 81]
15	9	[111, 2353, 9130, 9122, 7818, 6997, 2701, 4125, 2698, 11035, 2707, 9136, 7010, 14, 2371, 9774, 7925, 7801, 7535, 5371]	[7010, 14, 6061, 8541, 9659, 7506, 10958, 9122, 7818, 9081, 9800, 9387]
16	4	[1255]	[1255]
13	10	[2353, 8598, 4075, 2701, 4118, 6310, 10138, 2303, 9122, 7818, 4080, 6997, 7000, 2698, 7535, 7945, 2690, 2702]	[4118, 8455, 8201, 7804]
12	9	[2353, 5492, 4075, 5712, 5437, 9122, 72, 9136, 5740]	[2353, 9396, 4075, 2034, 2701, 11298, 2698, 9122, 10408, 7266, 3595, 2690]
17	4	[2740, 2954, 3660, 2164, 6549]	[2740, 2164, 2954, 3660]
18	10	[2770, 11408]	[]
20	33	[3541, 3767, 70, 3105, 10954, 8006, 9098, 1122, 4690]	[5007, 221, 11870, 1379, 2279, 11306, 9098, 8006, 1122]
19	33	[1369, 5591, 188, 22, 1688, 228, 588, 2643]	[11634, 5591, 4615, 9459, 22, 1688, 228, 588]
24	4	[]	[]
25	4	[]	[]
23	11	[]	[9772, 9194, 7151, 4708, 2212, 821, 10812, 11791]
21	33	[5007, 838, 1573, 10701, 8006, 9201, 1190, 1379, 9098, 4955, 6832, 588, 4690, 11870, 11092, 8451, 350, 11306, 8804, 1841, 5591, 9083, 9084, 5068]	[12020, 221, 1379, 350, 11306, 4434, 588, 9098, 8006]
22	7	[8680, 10734, 1369, 5591, 6551, 188, 1688, 228, 588, 2643, 4690]	[5007, 1369, 1379, 5591, 1688, 228, 588]
31	4	[]	[57, 3844, 3671, 8556, 7700, 2134, 6137, 6549, 3726, 1826]
41	10	[5682, 40, 6440, 1305, 3260, 444, 4540, 6519, 9243, 32, 1885, 1190, 1861, 11035, 3662, 10962, 9383, 11160, 39, 105, 7643, 3663, 10314, 1760, 95, 5706, 4949, 38, 4187, 8442, 6203, 3067, 177, 11651, 1339, 11692, 7416, 4188, 3512]	[40, 9207, 9929, 32, 9243, 1861, 3662, 10063, 39, 105, 3663, 1760, 6575, 95, 3523, 38, 8442, 1159, 1339]
29	10	[6440, 2438, 3674, 70, 4385, 838, 7766, 4298, 1374, 4562, 57, 11160, 3951, 6613, 9088, 2355, 9083, 5600, 4188, 9084]	[3951, 6311, 8095, 838, 7128]
34	10	[3722, 35, 4008, 3767]	[4008, 11092, 3767, 4177, 35, 4269, 46]
32	10	[40, 41, 5788, 10954, 4540, 9243, 2045, 4827, 1190, 10962, 7690, 11160, 7643, 1127, 11092, 11462, 2251, 8442, 5073, 177, 3916, 1339, 7416, 4188, 9084, 4235]	[11160, 8442, 40, 41, 3916, 9243, 10789, 2045]
28	10	[3541, 7643, 1127, 1532, 3723, 1501, 4830, 3724, 444, 3722, 4304, 26, 3725]	[10962, 10969, 11578, 27, 12025, 3723, 3570, 11563, 7575, 3724, 1223, 3722, 4649, 26, 3542, 3725]
27	10	[8680, 1560, 3723, 7575, 1573, 3724, 1223, 3722, 26, 503]	[8680, 1560, 11578, 12025, 1703, 3723, 3570, 11563, 7575, 3724, 4823, 1223, 3722, 4649, 26, 3725, 8804]
45	4	[4008]	[4008, 3767, 34, 3763, 4269, 46]
40	10	[11604, 5682, 1532, 3260, 2902, 9207, 41, 11511, 2421, 4189, 9243, 9929, 8048, 6556, 2922, 3662, 11160, 8517, 39, 105, 3663, 11256, 840, 1760, 9219, 11944, 6575, 95, 376, 2251, 4187, 38, 9905, 177, 4830, 11651, 4831, 3258, 1339, 8304, 4188, 9451]	[3260, 9416, 41, 9207, 9929, 9243, 4829, 1563, 10428, 1861, 696, 3662, 9208, 10063, 5410, 39, 105, 3663, 1760, 8159, 95, 3523, 2251, 38, 1159, 4831, 1339]
