item_id	i_category	r_complement	r_substitute
1	4	[8834, 8903, 8261, 8310, 2679, 6459, 1577, 4705, 3446, 3420, 4687, 1956, 5236, 2807, 4592, 3929, 8082, 3818, 6070, 7803, 6429, 5899, 5065, 6413, 6068, 9461, 6553, 5594, 7294, 6619, 3089, 5536, 8309, 1480, 2806, 9771, 6972, 1427, 7500, 4088, 8055, 6652, 4362, 7501]	[]
2	5	[8219, 6775, 7942, 9757, 6849, 7941, 11, 7922, 9133, 7891, 8061, 7927, 8375, 8822, 8847]	[]
3	9	[1072, 1207, 1470, 4364, 8020, 974, 8805, 370, 8246, 8476, 22, 1773, 4981, 677, 7087, 7342, 10323, 1507, 2442, 7353, 343, 7860, 833, 8193, 849, 1821, 4994, 1206, 7495, 8473, 501, 938, 4852, 392, 9428, 7414, 8694, 5968, 2549, 4863, 4372]	[]
4	4	[1601, 3738, 1080, 2565, 1650, 1140, 3602, 2636, 1129, 1551, 1054, 5, 1138, 1273, 4057, 1172, 1125, 3739, 2509, 1401, 2116, 2458, 2037, 1505, 1127, 2196, 3536, 1503, 2022, 2112, 1261, 1443, 3473, 1126, 2747, 1057, 1139, 2457, 2547, 1504, 3740, 2272, 1269, 1230, 1576, 1704]	[]
5	4	[1133, 3738, 1601, 1080, 1079, 2565, 3602, 1140, 1129, 5433, 1054, 1551, 1138, 1273, 4057, 4100, 3739, 2294, 2187, 2509, 2037, 2116, 2458, 1505, 5722, 4, 1568, 1064, 3044, 2022, 1503, 2112, 1261, 1443, 1126, 5386, 2457, 1139, 2547, 1504, 3740, 2272, 5064, 1230]	[]
6	5	[954, 5139, 515, 3227, 2381, 1411, 3084, 4952, 879, 2186]	[]
7	9	[250, 7762, 4947, 3148, 2009, 9757, 5073, 8676, 5468, 735, 8860, 9630, 6849, 7493, 5153, 5631, 5459, 5075, 6037, 2223, 7599, 7891, 9631, 579, 7205, 2375, 4961, 5164, 1793, 5527, 8235, 7424, 7505, 8498, 5494, 515, 6951, 5171, 8632, 6963, 8792, 10, 1549, 23, 5068, 6608]	[]
8	9	[3202, 1866, 9, 1888, 1650, 1777, 5468, 2223, 1549, 1701, 1752]	[]
9	9	[3202, 4007, 24, 2009, 4334, 3731, 3783, 4413, 3383, 4857, 4178, 4187, 3495, 3327, 3832, 3338, 6702, 4484, 2223, 561, 2750, 3581, 7328, 579, 1954, 4536, 4147, 3365, 3481, 2628, 3240, 3143, 4193, 5892, 8792, 3045, 2385, 8498, 4920, 4139, 4531, 16, 5420, 3524, 3608, 3494, 3378, 4177, 4200, 10, 1777, 3506, 3638, 23, 1553, 2993, 2608, 7254, 4412, 3639, 8101, 5068, 3884]	[]
10	9	[3202, 3522, 4947, 24, 9757, 2009, 4334, 5281, 3731, 22, 3783, 4413, 3141, 2818, 4178, 3541, 4187, 4073, 3495, 6939, 3327, 3832, 6849, 3338, 5153, 5631, 9, 5075, 6702, 5618, 2223, 561, 2432, 2750, 4447, 7328, 1954, 8444, 4536, 4147, 3365, 545, 2628, 3143, 4193, 4506, 8101, 2385, 8498, 4531, 3814, 5420, 6567, 6951, 3378, 4177, 4200, 3506, 8792, 2608, 4412, 7254, 9330, 3884]	[]
11	5	[9935, 6277, 8787, 8166, 8111, 2]	[]
12	4	[9244, 3096, 8903, 7351, 2679, 5800, 3415, 1577, 1875, 6109, 8837, 8697, 4391, 6828, 5707, 5569, 4509, 9032, 3929, 5361, 8082, 5584, 4362, 7341, 9462, 3917, 3168, 7803, 5065, 8495, 5682, 9979, 1517, 3727, 1675, 8745, 6868, 9216, 6395, 5007, 6619, 4670, 8133, 3897, 4747, 4869, 2907, 6096, 5067, 9771, 2962, 8650, 9476, 4232, 7687, 3852, 7073, 3853]	[]
13	5	[8785, 5153, 9180, 8674, 9976, 5985]	[]
14	5	[]	[7765, 8867, 10096, 8502, 8298]
15	5	[9800, 9606]	[]
16	4	[3202, 4007, 3281, 2009, 4172, 3224, 2702, 5687, 3245, 4411, 3783, 4413, 4178, 3541, 4187, 1989, 3495, 6939, 3327, 3187, 3338, 3179, 2658, 2372, 9, 3214, 2750, 3496, 4447, 4893, 4536, 3365, 2628, 3240, 3197, 4193, 2252, 5527, 4293, 4920, 4139, 3782, 3814, 6567, 3555, 3494, 4177, 3768, 4200, 10, 1553, 4412, 3813, 3636, 6898]	[]
17	4	[2797, 2814, 2717, 2403, 2712, 4235, 2852, 2547, 4783, 4600, 2519, 2106, 2227, 3191, 2303, 2653, 2766, 5174]	[]
18	12	[]	[]
19	12	[650, 539, 1391, 903, 647, 648, 806, 1093, 1721, 3111, 704, 649, 703]	[]
20	9	[]	[871, 1749, 3148, 4363]
22	12	[1072, 4947, 1470, 9514, 9757, 8020, 8433, 974, 8805, 4635, 5281, 5468, 370, 5101, 1773, 5341, 5153, 2223, 8046, 7342, 5862, 1040, 7353, 2442, 4377, 343, 3, 579, 7328, 1954, 9631, 5509, 3365, 5902, 1821, 5790, 1865, 8618, 2385, 1206, 7495, 3782, 4852, 6951, 7414, 8632, 8644, 8694, 10397, 10, 8792, 8252, 6345, 4372]	[]
21	12	[2301, 3630, 1062, 1040, 1058]	[]
23	9	[7661, 4947, 8348, 1470, 640, 8433, 5468, 22, 4981, 3783, 9, 5631, 5153, 2223, 7891, 2083, 7638, 7941, 8618, 5527, 8498, 8061, 7, 6951, 7869, 8792, 10, 359]	[]
24	9	[3202, 3522, 4739, 2009, 4172, 4334, 1888, 5468, 3731, 22, 3245, 3783, 4413, 3296, 4178, 3541, 4187, 3495, 3327, 3832, 3338, 3762, 4008, 6948, 9, 6702, 5618, 2223, 561, 4447, 4537, 7328, 4485, 2375, 4536, 4147, 3365, 4201, 2628, 4641, 3143, 4193, 8039, 2385, 4003, 3814, 5420, 515, 6567, 5009, 3524, 6951, 3378, 4177, 3768, 4200, 10, 1777, 3506, 2608, 3813, 4412, 7254, 7759, 6898]	[]
25	9	[7449, 4423, 3967, 595, 3079, 1686, 2083, 596, 2784, 8981]	[]
26	13	[4282, 304, 1915, 210, 477, 3185, 3399, 35, 8512, 840]	[]
27	13	[]	[26, 477]
28	5	[]	[]
29	13	[3053, 975, 2869, 948, 2104, 8420, 3185, 1073, 3007, 2595, 2994, 656, 2238, 2170, 8712]	[]
30	13	[35, 304, 74, 101]	[]
31	0	[8676, 2083]	[]
32	22	[59, 7301, 490, 1288, 371, 1225, 49, 207, 1143, 1006, 9668, 8023, 2114, 1084, 785]	[]
33	10	[]	[]
34	5	[1856, 305, 70, 884, 76, 342, 2978, 432, 1684, 264, 1820, 885, 265, 4037]	[]
35	13	[26, 304, 1915, 210, 761, 65, 8512, 9534, 867, 8870, 10201, 2362, 101]	[]
36	13	[2986, 127, 3062, 48, 64, 2918, 3399, 118]	[]
37	0	[]	[]
38	10	[]	[]
39	27	[]	[1714]
40	10	[]	[]
41	9	[10181, 6756]	[]
42	9	[]	[340, 1149]
43	13	[]	[1438, 320, 3399]
44	7	[]	[4330, 3264, 3695, 3616]
45	10	[]	[]
46	13	[304, 1915, 775, 761, 65, 35, 2362, 101]	[]
47	13	[]	[4404, 9270, 3079, 8551, 9072, 3275, 8420, 3156, 10140, 2645, 8859, 2170, 101]
48	13	[2986, 36, 127, 3062, 64, 2918, 118, 224]	[]
49	22	[9987, 490, 371, 1288, 1086, 1006, 502, 1082, 312, 657, 442, 1081, 337, 1084, 1085, 1087]	[]
50	13	[]	[2984, 6162, 1877, 1357, 9072, 872]
51	9	[515, 2381, 1964, 879, 2265]	[]
52	4	[8924, 8198, 221, 2040, 10076, 5328, 5529, 4586]	[]
53	0	[]	[]
54	4	[10015, 6162, 10255, 8551, 6494, 9072, 9793]	[]
